Rate of Change of Entropy,Side length,Number of Steps,Mean Number of Steps
0,52,3104,2714.45
0,52,2661,
0,52,4368,
0,52,1738,
0,52,3085,
0,52,2721,
0,52,2560,
0,52,4625,
0,52,1773,
0,52,1141,
0,52,2083,
0,102,2219,3460.9
0,102,2974,
0,102,4380,
0,102,5502,
0,102,5661,
0,102,1398,
0,102,2009,
0,102,2721,
0,102,3510,
0,102,4235,
0,152,6458,3558.92
0,152,5984,
0,152,3192,
0,152,3100,
0,152,3187,
0,152,5155,
0,152,2425,
0,152,1141,
0,152,2938,
0,152,2830,
0,152,2668,
0,152,3629,
0,202,6275,3790.09
0,202,3469,
0,202,7345,
0,202,5846,
0,202,1755,
0,202,2263,
0,202,3804,
0,202,2015,
0,202,1884,
0,202,1556,
0,202,5479,
0,252,1793,4240.8
0,252,4836,
0,252,4381,
0,252,4954,
0,252,4054,
0,252,3591,
0,252,4219,
0,252,6190,
0,252,3646,
0,252,4744,
0,302,4435,4121.6
0,302,9503,
0,302,4324,
0,302,4145,
0,302,1080,
0,302,3525,
0,302,1797,
0,302,1914,
0,302,9770,
0,352,1129,3664.67
0,352,1242,
0,352,7395,
0,352,3942,
0,352,2474,
0,352,2376,
0,352,1779,
0,352,6147,
0,352,6498,
0,402,6234,4048.6
0,402,1990,
0,402,1388,
0,402,2825,
0,402,5363,
0,402,3120,
0,402,1915,
0,402,7713,
0,402,7852,
0,402,2086,
0,452,3000,5340.8
0,452,8141,
0,452,4840,
0,452,2008,
0,452,1961,
0,452,7555,
0,452,7706,
0,452,9166,
0,452,2343,
0,452,6688,
0,502,7958,6604.5
0,502,4166,
0,502,5711,
0,502,7089,
0,502,8164,
0,502,3174,
0,502,7788,
0,502,7562,
0,502,6516,
0,502,7917,
0,552,8026,6745.4
0,552,9505,
0,552,4450,
0,552,6243,
0,552,10694,
0,552,2925,
0,552,3960,
0,552,4732,
0,552,9026,
0,552,7893,
0,602,10661,7776
0,602,9190,
0,602,7343,
0,602,5760,
0,602,7138,
0,602,4352,
0,602,4654,
0,602,10394,
0,602,10182,
0,602,8086,
0,652,5885,8096.3
0,652,7138,
0,652,11175,
0,652,8116,
0,652,10873,
0,652,8033,
0,652,11043,
0,652,6748,
0,652,4619,
0,652,7333,
0,702,9086,6912.4
0,702,8877,
0,702,4241,
0,702,4493,
0,702,10253,
0,702,4407,
0,702,7844,
0,702,7220,
0,702,8064,
0,702,4639,
0,752,8370,8003.8
0,752,7325,
0,752,5022,
0,752,8746,
0,752,10859,
0,752,7274,
0,752,8170,
0,752,11082,
0,752,8161,
0,752,5029,
0,802,10425,8065.5
0,802,6598,
0,802,10791,
0,802,5584,
0,802,6499,
0,802,7977,
0,802,8133,
0,802,7041,
0,802,6037,
0,802,11570,
0,852,8656,8135.6
0,852,6889,
0,852,6752,
0,852,7892,
0,852,8168,
0,852,10772,
0,852,8076,
0,852,8104,
0,852,6088,
0,852,9959,
